"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Costo por resultados","Importe gastado (COP)",Finalización,"Artículos agregados al carrito","Artículos agregados al carrito en la app","Artículos agregados al carrito en el sitio web","Artículos agregados al carrito offline","Artículos agregados al carrito en Meta",Compras,"Compras en la app","Compras en el sitio web","Compras offline","Compras en Meta","Total de Compras","Clics (todos)","CTR (todos)","ROAS (retorno de la inversión en publicidad) de compras","ROAS (retorno de la inversión en publicidad) de compras en el sitio web","ROAS (retorno de la inversión en publicidad) de compras en la app","Tasa de Conversion  - Compras"
2025-06-01,2025-06-07,"ALWAYS VENTA Campaña",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ABO ESTUCHES - 1 AL 13 NOV - PUBLIC",inactive,30000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ABO ALWAY - TEST - NOVIEMBRE",inactive,30000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA ALWAYS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA CAPILAR 14  -1 6",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"trasnochon Campaña",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"TRASNOCHON BMARKET Campaña",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA NAVIDAD",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA NACIONAL ALWAYS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA PROMO ESTUCHES Campaña",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"01. CREATIVE TESTING",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"SOCIAL PROOF",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA ADD TO CART - ADVANTAGE",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ADV + ALWAYS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA 13 DE JULIO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA ANIVERSARIO - 29 al 31",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA BEAUTY SPECIAL",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA 3 X 2",inactive,50000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA ESTUCHES  - SEPTIEMBRE",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA SALE - VENTA - WEB",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA INTERACCION IG",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA RECONOCIMIENTO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA ADVANTAGE Campaña",active,"Con el presupuesto del conjunto de anuncios",0,"1 día tras clic, 1 día tras visualización o 1 día tras visualización activa",5,actions:offsite_conversion.fb_pixel_purchase,7102,18040,25792.6,128963,"En curso",148,,148,,,5,,5,,,678737,289,1.601996,5.263037,5.263037,,0.03424658
2025-06-01,2025-06-07,"Nueva campaña de Tráfico",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA ADVANTAGE OFERTA Campaña",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA MES DEL PADRE TRAFICO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA 20 DE DESCUENTO - PADRES",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"1 JUL - ALWAYS ON - WHATSAPP Intereses Segmentado Colombia - ADV",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑAS WHATSAPP 15 OFF",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ENVIO GRATIS 2 Y 3 abril TRAFICO - Copia",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"1 JUL - ALWAYS ON - TRAFICO Intereses Segmentado Colombia - ADV",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAYS ON - PURCHASE - ADV - CBO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAYS ON - PURCHASE - MAX",inactive,25000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAYS ON - PURCHASE - ADV - CBO - Copia",inactive,80000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAYS ON - PURCHASE - ADD TO CART",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAYS ON - PURCHASE",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Campaña de ventas personalizada 07/08/2023 Campaña",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAY VENTA",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAYS ON - PROSPECTIN - INTERESES - CBO",inactive,10000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Nueva campaña de Ventas",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ALWAYS ON - PURCHASE - ADV - CBO - Copia",inactive,45000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ADVANTAGE - ETAPAS - PROYECTANDO COMPRA",inactive,20000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA DE ADVANTAGE PLUS Campaña",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CATALOGO DE  VENTAS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑAS PDV",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"PDV - PINK SALES",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ADV LUXURY SERUMS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ADV LUXURY SERUMS - Copia",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ABO LUXURY SERUM",inactive,40000,Diario,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"PROMOCIONES FIN DE SEMANA 21 - 22",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"JUNIO -  CONVERSIONES -ENVIO GRATIS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"JUNIO -  CONVERSIONES - PADRE 18 - 20 - Copia",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"JUNIO -  CONVERSIONES - 15%",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ETAPA 1 - TRAFICO FRIO - 9 AÑOS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CONVERSIONES - B-Market ENVIO GRATIS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ETAPA 1  - CAMPAÑAS DE TRAFICO FRIO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Etapa 2 - CAMPAÑAS TRAFICO TIBIO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Etapa 3 - CAMPAÑAS TRAFICO  CALIENTE",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"ETAPA 4  - CAMPAÑAS DE RECONOCIMIENTO - TIENDA",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Etapa 2 - CAMPAÑAS TRAFICO TIBIO - v2",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Etapa 3 - CAMPAÑAS TRAFICO  CALIENTE - Copia",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Etapa 1 - AUDIENCIAS FRIO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA DE ENVIO GRATIS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA AMOR Y BELLEZA",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA ENVIO GRATIS",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA DIA DEL PADRE",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA MAQUILLAJE",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA B-soap + Scrub",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA FRAGANCIA",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"CAMPAÑA DESCUENTO PAGINA WEB",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
